"store_id","customer","amount","payment_date","staff","manager_staff_id"
2,"Lawrence Lawton","1.99","2007-02-19 01:37:42.996577","Jon Stephens",2
2,"Lawrence Lawton","2.99","2007-02-19 21:35:29.996577","Mike Hillyer",1
2,"Lawrence Lawton","2.99","2007-02-21 06:02:40.996577","Jon Stephens",2
1,"Nicholas Barfield","2.99","2007-02-15 16:52:36.996577","Mike Hillyer",1
1,"Nicholas Barfield","2.99","2007-02-15 23:06:01.996577","Mike Hillyer",1
1,"Nicholas Barfield","2.99","2007-02-16 05:28:54.996577","Mike Hillyer",1
1,"Nicholas Barfield","2.99","2007-02-20 22:35:49.996577","Jon Stephens",2
1,"Nicholas Barfield","2.99","2007-02-21 13:42:53.996577","Jon Stephens",2
2,"Roy Whiting","4.99","2007-02-15 16:44:50.996577","Jon Stephens",2
2,"Roy Whiting","4.99","2007-02-16 01:47:35.996577","Jon Stephens",2
2,"Roy Whiting","4.99","2007-02-16 22:33:48.996577","Mike Hillyer",1
2,"Roy Whiting","4.99","2007-02-19 00:33:14.996577","Mike Hillyer",1
2,"Roy Whiting","2.99","2007-02-21 04:37:13.996577","Jon Stephens",2
1,"Benjamin Varney","2.99","2007-02-16 13:41:18.996577","Mike Hillyer",1
1,"Benjamin Varney","2.99","2007-02-18 17:17:44.996577","Jon Stephens",2
1,"Benjamin Varney","4.99","2007-02-19 05:19:58.996577","Jon Stephens",2
1,"Benjamin Varney","4.99","2007-02-19 21:43:41.996577","Jon Stephens",2
1,"Benjamin Varney","3.99","2007-02-20 06:00:21.996577","Jon Stephens",2
2,"Bruce Schwarz","1.99","2007-02-15 08:24:23.996577","Mike Hillyer",1
2,"Bruce Schwarz","6.99","2007-02-16 02:36:42.996577","Mike Hillyer",1
2,"Bruce Schwarz","4.99","2007-02-17 08:50:39.996577","Mike Hillyer",1
2,"Bruce Schwarz","2.99","2007-02-18 23:16:48.996577","Mike Hillyer",1
2,"Bruce Schwarz","0.99","2007-02-20 19:32:12.996577","Jon Stephens",2
1,"Brandon Huey","1.99","2007-02-15 14:58:48.996577","Jon Stephens",2
1,"Brandon Huey","0.99","2007-02-18 01:13:03.996577","Jon Stephens",2
1,"Adam Gooch","0.99","2007-02-20 13:38:14.996577","Mike Hillyer",1
1,"Harry Arce","0.99","2007-02-14 23:25:11.996577","Mike Hillyer",1
1,"Harry Arce","9.99","2007-02-15 21:21:56.996577","Mike Hillyer",1
1,"Harry Arce","4.99","2007-02-18 23:49:15.996577","Mike Hillyer",1
1,"Harry Arce","4.99","2007-02-19 11:45:47.996577","Mike Hillyer",1
1,"Harry Arce","4.99","2007-02-19 14:49:06.996577","Mike Hillyer",1
1,"Harry Arce","4.99","2007-02-21 04:01:30.996577","Jon Stephens",2
2,"Fred Wheat","0.99","2007-02-15 02:12:51.996577","Mike Hillyer",1
2,"Wayne Truong","6.99","2007-02-14 23:33:58.996577","Jon Stephens",2
1,"Billy Poulin","2.99","2007-02-15 01:31:59.996577","Jon Stephens",2
1,"Billy Poulin","1.99","2007-02-15 01:53:10.996577","Mike Hillyer",1
1,"Billy Poulin","6.99","2007-02-16 02:00:05.996577","Mike Hillyer",1
1,"Billy Poulin","5.99","2007-02-16 09:33:13.996577","Jon Stephens",2
1,"Billy Poulin","0.99","2007-02-19 20:32:16.996577","Jon Stephens",2
1,"Billy Poulin","3.99","2007-02-20 21:00:20.996577","Mike Hillyer",1
1,"Billy Poulin","0.99","2007-02-21 13:51:34.996577","Jon Stephens",2
2,"Steve Mackenzie","2.99","2007-02-18 07:32:05.996577","Mike Hillyer",1
2,"Steve Mackenzie","4.99","2007-02-20 05:36:20.996577","Mike Hillyer",1
2,"Steve Mackenzie","3.99","2007-02-21 04:47:33.996577","Mike Hillyer",1
1,"Louis Leone","6.99","2007-02-15 19:23:21.996577","Mike Hillyer",1
1,"Louis Leone","2.99","2007-02-20 19:49:27.996577","Mike Hillyer",1
2,"Jeremy Hurtado","1.99","2007-02-16 00:11:59.996577","Mike Hillyer",1
2,"Jeremy Hurtado","1.99","2007-02-17 13:08:16.996577","Jon Stephens",2
2,"Jeremy Hurtado","4.99","2007-02-18 20:01:20.996577","Jon Stephens",2
2,"Jeremy Hurtado","2.99","2007-02-19 08:06:59.996577","Jon Stephens",2
2,"Aaron Selby","2.99","2007-02-15 15:07:19.996577","Jon Stephens",2
2,"Aaron Selby","5.99","2007-02-15 20:26:33.996577","Mike Hillyer",1
2,"Aaron Selby","4.99","2007-02-18 02:40:59.996577","Mike Hillyer",1
1,"Randy Gaither","0.99","2007-02-15 00:58:29.996577","Jon Stephens",2
1,"Randy Gaither","0.99","2007-02-19 16:47:33.996577","Mike Hillyer",1
1,"Howard Fortner","3.99","2007-02-19 01:35:58.996577","Jon Stephens",2
1,"Howard Fortner","1.99","2007-02-20 13:50:58.996577","Mike Hillyer",1
1,"Howard Fortner","0.99","2007-02-20 14:11:06.996577","Jon Stephens",2
1,"Howard Fortner","2.99","2007-02-20 18:07:34.996577","Jon Stephens",2
1,"Howard Fortner","4.99","2007-02-21 18:47:26.996577","Jon Stephens",2
1,"Eugene Culpepper","4.99","2007-02-16 06:17:16.996577","Jon Stephens",2
1,"Eugene Culpepper","5.99","2007-02-16 08:42:01.996577","Mike Hillyer",1
1,"Eugene Culpepper","7.99","2007-02-17 19:42:10.996577","Jon Stephens",2
1,"Eugene Culpepper","4.99","2007-02-19 12:51:35.996577","Jon Stephens",2
1,"Carlos Coughlin","8.99","2007-02-15 13:48:32.996577","Mike Hillyer",1
1,"Carlos Coughlin","5.99","2007-02-18 07:25:11.996577","Mike Hillyer",1
1,"Carlos Coughlin","2.99","2007-02-20 03:06:11.996577","Mike Hillyer",1
1,"Russell Brinson","3.99","2007-02-17 00:31:48.996577","Mike Hillyer",1
1,"Russell Brinson","2.99","2007-02-17 08:53:54.996577","Mike Hillyer",1
1,"Russell Brinson","3.99","2007-02-17 11:04:24.996577","Mike Hillyer",1
1,"Russell Brinson","2.99","2007-02-18 17:09:35.996577","Mike Hillyer",1
1,"Russell Brinson","4.99","2007-02-18 18:34:31.996577","Mike Hillyer",1
1,"Russell Brinson","1.99","2007-02-20 07:58:48.996577","Jon Stephens",2
1,"Russell Brinson","1.99","2007-02-20 15:12:59.996577","Jon Stephens",2
1,"Russell Brinson","4.99","2007-02-21 02:27:39.996577","Mike Hillyer",1
2,"Bobby Boudreau","3.99","2007-02-15 14:59:34.996577","Mike Hillyer",1
2,"Bobby Boudreau","1.99","2007-02-17 01:23:58.996577","Mike Hillyer",1
2,"Bobby Boudreau","2.99","2007-02-18 15:23:34.996577","Jon Stephens",2
2,"Bobby Boudreau","4.99","2007-02-18 15:43:08.996577","Mike Hillyer",1
2,"Bobby Boudreau","2.99","2007-02-21 16:35:33.996577","Jon Stephens",2
2,"Victor Barkley","0.99","2007-02-18 13:56:13.996577","Mike Hillyer",1
2,"Victor Barkley","4.99","2007-02-18 18:52:18.996577","Mike Hillyer",1
2,"Victor Barkley","1.99","2007-02-18 20:29:10.996577","Mike Hillyer",1
2,"Victor Barkley","2.99","2007-02-18 22:25:10.996577","Mike Hillyer",1
2,"Victor Barkley","4.99","2007-02-20 17:00:24.996577","Jon Stephens",2
1,"Martin Bales","7.99","2007-02-16 20:50:43.996577","Mike Hillyer",1
1,"Martin Bales","2.99","2007-02-18 02:13:16.996577","Jon Stephens",2
1,"Martin Bales","2.99","2007-02-18 03:33:44.996577","Mike Hillyer",1
1,"Martin Bales","2.99","2007-02-18 07:42:20.996577","Jon Stephens",2
1,"Martin Bales","7.99","2007-02-19 05:41:38.996577","Mike Hillyer",1
1,"Martin Bales","2.99","2007-02-20 14:31:25.996577","Mike Hillyer",1
2,"Ernest Stepp","0.99","2007-02-17 07:31:24.996577","Mike Hillyer",1
2,"Ernest Stepp","0.99","2007-02-17 11:08:16.996577","Jon Stephens",2
2,"Ernest Stepp","7.99","2007-02-18 13:26:15.996577","Mike Hillyer",1
2,"Ernest Stepp","5.99","2007-02-18 22:12:47.996577","Jon Stephens",2
2,"Ernest Stepp","3.99","2007-02-20 03:35:50.996577","Jon Stephens",2
2,"Ernest Stepp","9.99","2007-02-20 14:24:31.996577","Mike Hillyer",1
2,"Ernest Stepp","4.99","2007-02-20 15:17:24.996577","Jon Stephens",2
1,"Phillip Holm","2.99","2007-02-16 15:09:45.996577","Mike Hillyer",1
1,"Phillip Holm","0.99","2007-02-17 05:45:12.996577","Mike Hillyer",1
1,"Phillip Holm","0.99","2007-02-20 15:40:12.996577","Mike Hillyer",1
1,"Todd Tan","3.99","2007-02-16 03:19:39.996577","Jon Stephens",2
1,"Todd Tan","2.99","2007-02-16 04:57:23.996577","Mike Hillyer",1
1,"Todd Tan","5.99","2007-02-16 20:01:16.996577","Jon Stephens",2
1,"Todd Tan","0.99","2007-02-19 13:48:05.996577","Mike Hillyer",1
1,"Todd Tan","2.99","2007-02-21 09:50:05.996577","Mike Hillyer",1
2,"Jesse Schilling","0.99","2007-02-15 19:06:40.996577","Mike Hillyer",1
2,"Jesse Schilling","0.99","2007-02-15 19:11:34.996577","Jon Stephens",2
2,"Jesse Schilling","0.99","2007-02-17 14:40:12.996577","Mike Hillyer",1
2,"Jesse Schilling","0.99","2007-02-17 17:21:47.996577","Jon Stephens",2
2,"Jesse Schilling","5.99","2007-02-20 07:03:43.996577","Jon Stephens",2
2,"Jesse Schilling","4.99","2007-02-21 12:19:54.996577","Jon Stephens",2
2,"Craig Morrell","6.99","2007-02-15 06:28:39.996577","Jon Stephens",2
2,"Craig Morrell","0.99","2007-02-17 20:39:02.996577","Mike Hillyer",1
2,"Craig Morrell","5.99","2007-02-19 00:20:47.996577","Mike Hillyer",1
2,"Craig Morrell","4.99","2007-02-19 11:36:45.996577","Mike Hillyer",1
2,"Craig Morrell","7.99","2007-02-20 19:40:16.996577","Jon Stephens",2
1,"Alan Kahn","4.99","2007-02-16 16:19:27.996577","Mike Hillyer",1
1,"Alan Kahn","4.99","2007-02-17 06:27:05.996577","Mike Hillyer",1
1,"Alan Kahn","3.99","2007-02-19 01:29:55.996577","Mike Hillyer",1
1,"Shawn Heaton","5.99","2007-02-15 23:39:51.996577","Jon Stephens",2
1,"Shawn Heaton","2.99","2007-02-16 13:58:27.996577","Jon Stephens",2
1,"Shawn Heaton","2.99","2007-02-17 02:47:03.996577","Jon Stephens",2
1,"Shawn Heaton","7.99","2007-02-18 09:09:45.996577","Mike Hillyer",1
1,"Shawn Heaton","5.99","2007-02-20 18:53:43.996577","Mike Hillyer",1
1,"Clarence Gamez","0.99","2007-02-15 02:46:36.996577","Jon Stephens",2
1,"Clarence Gamez","0.99","2007-02-17 05:20:22.996577","Jon Stephens",2
1,"Clarence Gamez","2.99","2007-02-17 13:06:37.996577","Mike Hillyer",1
1,"Clarence Gamez","2.99","2007-02-19 11:28:28.996577","Mike Hillyer",1
1,"Clarence Gamez","2.99","2007-02-20 19:50:39.996577","Jon Stephens",2
2,"Sean Douglass","6.99","2007-02-15 23:06:33.996577","Jon Stephens",2
2,"Sean Douglass","2.99","2007-02-16 16:20:20.996577","Jon Stephens",2
2,"Sean Douglass","2.99","2007-02-18 05:58:09.996577","Jon Stephens",2
2,"Sean Douglass","4.99","2007-02-20 00:29:11.996577","Jon Stephens",2
1,"Philip Causey","6.99","2007-02-16 05:10:01.996577","Mike Hillyer",1
1,"Philip Causey","1.99","2007-02-17 03:56:54.996577","Jon Stephens",2
1,"Philip Causey","2.99","2007-02-18 01:45:20.996577","Jon Stephens",2
1,"Philip Causey","4.99","2007-02-18 07:52:48.996577","Mike Hillyer",1
1,"Philip Causey","2.99","2007-02-20 08:18:42.996577","Jon Stephens",2
2,"Chris Brothers","4.99","2007-02-15 09:31:11.996577","Jon Stephens",2
2,"Johnny Turpin","0.99","2007-02-15 05:58:48.996577","Mike Hillyer",1
2,"Johnny Turpin","0.99","2007-02-16 01:14:53.996577","Mike Hillyer",1
2,"Johnny Turpin","0.99","2007-02-16 04:42:29.996577","Jon Stephens",2
2,"Johnny Turpin","4.99","2007-02-20 10:20:25.996577","Mike Hillyer",1
2,"Johnny Turpin","0.99","2007-02-21 06:33:17.996577","Mike Hillyer",1
2,"Johnny Turpin","6.99","2007-02-21 13:06:21.996577","Mike Hillyer",1
1,"Earl Shanks","1.99","2007-02-15 12:59:31.996577","Jon Stephens",2
1,"Earl Shanks","4.99","2007-02-15 13:56:49.996577","Jon Stephens",2
1,"Earl Shanks","6.99","2007-02-15 15:26:24.996577","Jon Stephens",2
1,"Jimmy Schrader","5.99","2007-02-16 16:36:14.996577","Mike Hillyer",1
1,"Jimmy Schrader","1.99","2007-02-20 10:18:56.996577","Jon Stephens",2
1,"Antonio Meek","2.99","2007-02-15 02:19:02.996577","Jon Stephens",2
1,"Antonio Meek","6.99","2007-02-17 16:03:36.996577","Mike Hillyer",1
1,"Antonio Meek","9.99","2007-02-20 18:24:13.996577","Jon Stephens",2
1,"Danny Isom","2.99","2007-02-20 05:57:41.996577","Jon Stephens",2
1,"Danny Isom","5.99","2007-02-20 10:46:57.996577","Mike Hillyer",1
2,"Bryan Hardison","0.99","2007-02-15 12:33:58.996577","Jon Stephens",2
2,"Bryan Hardison","3.99","2007-02-17 04:04:33.996577","Mike Hillyer",1
2,"Bryan Hardison","6.99","2007-02-17 04:34:36.996577","Jon Stephens",2
1,"Luis Yanez","4.99","2007-02-14 23:53:34.996577","Jon Stephens",2
1,"Luis Yanez","4.99","2007-02-18 20:29:16.996577","Jon Stephens",2
1,"Luis Yanez","2.99","2007-02-20 02:10:53.996577","Jon Stephens",2
1,"Mike Way","4.99","2007-02-15 02:03:42.996577","Jon Stephens",2
1,"Mike Way","8.99","2007-02-15 04:06:35.996577","Mike Hillyer",1
1,"Mike Way","3.99","2007-02-18 20:06:52.996577","Jon Stephens",2
1,"Mike Way","4.99","2007-02-20 03:10:07.996577","Mike Hillyer",1
1,"Mike Way","6.99","2007-02-20 11:19:27.996577","Jon Stephens",2
1,"Mike Way","5.99","2007-02-21 10:07:11.996577","Mike Hillyer",1
2,"Stanley Scroggins","2.99","2007-02-15 20:48:03.996577","Jon Stephens",2
2,"Stanley Scroggins","4.99","2007-02-16 22:08:00.996577","Jon Stephens",2
2,"Stanley Scroggins","4.99","2007-02-19 12:58:01.996577","Mike Hillyer",1
2,"Stanley Scroggins","2.99","2007-02-20 04:51:27.996577","Mike Hillyer",1
1,"Leonard Schofield","4.99","2007-02-15 08:51:34.996577","Jon Stephens",2
1,"Leonard Schofield","0.99","2007-02-17 02:27:02.996577","Mike Hillyer",1
1,"Leonard Schofield","5.99","2007-02-17 07:03:23.996577","Jon Stephens",2
1,"Leonard Schofield","3.99","2007-02-19 09:06:20.996577","Jon Stephens",2
1,"Leonard Schofield","4.99","2007-02-21 01:21:43.996577","Mike Hillyer",1
1,"Leonard Schofield","5.99","2007-02-21 01:54:03.996577","Mike Hillyer",1
1,"Nathan Runyon","4.99","2007-02-17 18:26:12.996577","Mike Hillyer",1
1,"Nathan Runyon","3.99","2007-02-17 21:19:02.996577","Jon Stephens",2
1,"Nathan Runyon","2.99","2007-02-18 03:00:07.996577","Mike Hillyer",1
1,"Nathan Runyon","0.99","2007-02-18 08:36:33.996577","Jon Stephens",2
1,"Nathan Runyon","0.99","2007-02-19 03:33:29.996577","Jon Stephens",2
1,"Nathan Runyon","7.99","2007-02-20 21:32:46.996577","Mike Hillyer",1
1,"Nathan Runyon","4.99","2007-02-21 06:15:24.996577","Mike Hillyer",1
1,"Dale Ratcliff","2.99","2007-02-16 11:33:08.996577","Mike Hillyer",1
1,"Dale Ratcliff","0.99","2007-02-19 04:22:12.996577","Jon Stephens",2
1,"Manuel Murrell","4.99","2007-02-18 19:31:34.996577","Jon Stephens",2
1,"Manuel Murrell","2.99","2007-02-19 02:09:36.996577","Mike Hillyer",1
1,"Manuel Murrell","2.99","2007-02-19 13:32:30.996577","Jon Stephens",2
2,"Rodney Moeller","5.99","2007-02-15 02:14:36.996577","Jon Stephens",2
2,"Rodney Moeller","8.99","2007-02-18 07:14:25.996577","Jon Stephens",2
2,"Curtis Irby","2.99","2007-02-15 21:26:00.996577","Mike Hillyer",1
2,"Curtis Irby","2.99","2007-02-17 15:02:25.996577","Mike Hillyer",1
2,"Curtis Irby","4.99","2007-02-18 03:49:38.996577","Mike Hillyer",1
2,"Curtis Irby","5.99","2007-02-18 14:39:12.996577","Jon Stephens",2
2,"Curtis Irby","0.99","2007-02-20 06:24:26.996577","Jon Stephens",2
2,"Curtis Irby","4.99","2007-02-21 01:41:45.996577","Mike Hillyer",1
1,"Norman Currier","0.99","2007-02-17 09:00:03.996577","Mike Hillyer",1
1,"Norman Currier","2.99","2007-02-17 09:48:09.996577","Jon Stephens",2
1,"Norman Currier","0.99","2007-02-19 12:48:39.996577","Jon Stephens",2
2,"Allen Butterfield","2.99","2007-02-21 05:27:37.996577","Mike Hillyer",1
2,"Marvin Yee","5.99","2007-02-17 19:29:10.996577","Jon Stephens",2
2,"Marvin Yee","4.99","2007-02-19 00:52:02.996577","Jon Stephens",2
1,"Vincent Ralston","4.99","2007-02-18 03:22:55.996577","Mike Hillyer",1
1,"Vincent Ralston","9.99","2007-02-19 01:38:12.996577","Mike Hillyer",1
1,"Vincent Ralston","5.99","2007-02-21 06:51:31.996577","Mike Hillyer",1
1,"Glenn Pullen","4.99","2007-02-17 00:30:03.996577","Jon Stephens",2
1,"Glenn Pullen","2.99","2007-02-20 23:29:55.996577","Mike Hillyer",1
2,"Jeffery Pinson","2.99","2007-02-14 21:21:59.996577","Jon Stephens",2
2,"Jeffery Pinson","4.99","2007-02-15 10:55:45.996577","Mike Hillyer",1
2,"Jeffery Pinson","0.99","2007-02-16 00:31:10.996577","Jon Stephens",2
2,"Jeffery Pinson","2.99","2007-02-16 03:59:24.996577","Jon Stephens",2
2,"Jeffery Pinson","0.99","2007-02-16 16:40:43.996577","Jon Stephens",2
1,"Travis Estep","3.99","2007-02-17 04:32:42.996577","Mike Hillyer",1
2,"Jeff East","2.99","2007-02-19 19:00:45.996577","Mike Hillyer",1
2,"Jeff East","2.99","2007-02-20 04:11:31.996577","Jon Stephens",2
2,"Jeff East","2.99","2007-02-20 06:12:53.996577","Jon Stephens",2
1,"Chad Carbone","2.99","2007-02-19 17:21:03.996577","Jon Stephens",2
1,"Jacob Lance","3.99","2007-02-19 10:10:30.996577","Jon Stephens",2
1,"Jacob Lance","0.99","2007-02-19 11:57:37.996577","Mike Hillyer",1
1,"Jacob Lance","0.99","2007-02-19 13:30:46.996577","Mike Hillyer",1
1,"Lee Hawks","4.99","2007-02-16 11:08:17.996577","Mike Hillyer",1
1,"Lee Hawks","2.99","2007-02-18 15:19:07.996577","Jon Stephens",2
1,"Lee Hawks","4.99","2007-02-20 20:31:20.996577","Mike Hillyer",1
1,"Melvin Ellington","0.99","2007-02-16 22:31:10.996577","Mike Hillyer",1
1,"Melvin Ellington","4.99","2007-02-17 02:54:49.996577","Mike Hillyer",1
1,"Melvin Ellington","2.99","2007-02-19 14:50:33.996577","Jon Stephens",2
1,"Melvin Ellington","5.99","2007-02-19 16:46:38.996577","Mike Hillyer",1
2,"Alfred Casillas","3.99","2007-02-15 20:36:32.996577","Mike Hillyer",1
2,"Alfred Casillas","0.99","2007-02-16 20:23:06.996577","Jon Stephens",2
2,"Alfred Casillas","6.99","2007-02-19 04:35:51.996577","Mike Hillyer",1
2,"Alfred Casillas","6.99","2007-02-19 15:33:01.996577","Jon Stephens",2
2,"Alfred Casillas","8.99","2007-02-20 12:49:57.996577","Mike Hillyer",1
2,"Kyle Spurlock","4.99","2007-02-20 11:07:15.996577","Jon Stephens",2
2,"Kyle Spurlock","6.99","2007-02-20 20:00:58.996577","Mike Hillyer",1
2,"Kyle Spurlock","0.99","2007-02-21 14:26:18.996577","Jon Stephens",2
2,"Francis Sikes","6.99","2007-02-21 04:04:18.996577","Mike Hillyer",1
1,"Bradley Motley","6.99","2007-02-16 12:38:41.996577","Mike Hillyer",1
1,"Bradley Motley","7.99","2007-02-16 22:14:25.996577","Mike Hillyer",1
1,"Bradley Motley","2.99","2007-02-18 00:40:04.996577","Mike Hillyer",1
1,"Bradley Motley","0.99","2007-02-19 17:53:20.996577","Mike Hillyer",1
1,"Bradley Motley","0.99","2007-02-21 01:28:37.996577","Mike Hillyer",1
2,"Jesus Mccartney","5.99","2007-02-15 10:54:47.996577","Mike Hillyer",1
2,"Jesus Mccartney","3.99","2007-02-16 06:21:21.996577","Jon Stephens",2
2,"Jesus Mccartney","5.99","2007-02-16 07:45:33.996577","Mike Hillyer",1
2,"Jesus Mccartney","1.99","2007-02-16 23:41:24.996577","Mike Hillyer",1
2,"Jesus Mccartney","0.99","2007-02-18 18:47:08.996577","Jon Stephens",2
2,"Herbert Kruger","3.99","2007-02-15 02:18:29.996577","Mike Hillyer",1
2,"Herbert Kruger","2.99","2007-02-15 19:21:52.996577","Jon Stephens",2
